FECHA,HORA,MODALIDAD,CANT_FALLECIDOS,CANT_HERIDOS,LATITUD,LONGITUD,DEPARTAMENTO,PROVINCIA,DISTRITO
2020-01-11,20:30:00,CHOQUE,0,1,-6.879722,-79.814167,LAMBAYEQUE,CHICLAYO,REQUE
2020-01-11,10:45:00,ESPECIAL,0,2,-11.61161724,-77.23483843,LIMA,HUARAL,AUCALLAMA
2020-01-11,05:00:00,CHOQUE,0,0,-16.683,-71.871,AREQUIPA,AREQUIPA,LA JOYA
2020-01-11,14:20:00,CHOQUE,0,0,-14.733,-69.6213,PUNO,SAN ANTONIO DE PUTINA,ANANEA
2020-01-11,16:40:00,CHOQUE,0,0,-12.787,-76.571,LIMA,CAÑETE,ASIA
2020-01-11,20:30:00,CHOQUE,0,0,-8.430769921,-78.77596571,LA LIBERTAD,VIRU,VIRU
2020-01-11,22:10:00,DESPISTE,0,0,-11.622163,-75.985164,JUNIN,YAULI,SANTA ROSA DE SACCO
2020-01-11,00:54:00,CHOQUE,0,0,-13.398946,-76.195732,ICA,CHINCHA,GROCIO PRADO
2020-01-11,04:30:00,CHOQUE,0,2,-14.28462618,-71.22616195,CUSCO,CANCHIS,SICUANI
2020-01-11,11:00:00,ATROPELLO,0,2,-11.61724,-77.226058,LIMA,HUARAL,AUCALLAMA
2020-01-11,00:30:00,CHOQUE,0,1,-5.406,-80.613,PIURA,PIURA,CURA MORI
2020-01-11,01:30:00,CHOQUE,1,0,-13.609654,-71.73899,CUSCO,QUISPICANCHI,LUCRE
2020-01-12,11:30:00,CHOQUE,0,0,-12.01546731,-77.05200431,LIMA,LIMA,SAN MARTIN DE PORRES
2020-01-12,21:30:00,CHOQUE,0,0,-13.67036426,-76.15449991,ICA,PISCO,SAN CLEMENTE
2020-01-12,01:07:00,CHOQUE,0,3,-11.895,-76.498,LIMA,HUAROCHIRI,SAN BARTOLOME
2020-01-12,04:20:00,CHOQUE,5,7,-14.45368,-75.44694,ICA,ICA,SANTIAGO-ICA
2020-01-12,08:05:00,CHOQUE,0,4,-12.064777,-77.030665,LIMA,LIMA,LA VICTORIA-LIMA
2020-01-12,08:40:00,DESPISTE,0,2,-13.482447,-76.138664,ICA,CHINCHA,CHINCHA BAJA
2020-01-12,13:10:00,CHOQUE,0,3,-8.411448,-78.803462,LA LIBERTAD,VIRU,VIRU
2020-01-12,16:50:00,DESPISTE,0,2,-17.128,-71.88,AREQUIPA,ISLAY,DEAN VALDIVIA
2020-01-12,04:25:00,CHOQUE,0,2,-6.559028237,-78.65762859,CAJAMARCA,CHOTA,CHOTA
2020-01-12,15:03:00,CHOQUE,0,1,-15.717,-74.47,AREQUIPA,CARAVELI,YAUCA
2020-01-13,15:50:00,ATROPELLO,0,1,-8.131583815,-79.02067896,LA LIBERTAD,TRUJILLO,TRUJILLO
2020-01-13,17:40:00,CHOQUE,0,0,-11.790243,-75.688457,JUNIN,JAUJA,CURICACA
2020-01-13,15:38:00,DESPISTE,0,0,-15.182,-69.8322,PUNO,HUANCANE,HUANCANE
